n,duration,mflops,result
0,0.000000,nan,0.000000
100,0.000009,222222222.222222,9900.000000
200,0.000035,114285714.285714,39800.000000
300,0.000075,80000000.000000,89700.000000
400,0.000130,61538461.538462,159600.000000
500,0.000200,50000000.000000,249500.000000
600,0.000293,40955631.399317,359400.000000
700,0.000401,34912718.204489,489300.000000
800,0.000505,31683168.316832,639200.000000
900,0.000637,28257456.828885,809100.000000
1000,0.000784,25510204.081633,999000.000000
1100,0.000947,23231256.599789,1208900.000000
1200,0.001124,21352313.167260,1438800.000000
1300,0.001199,21684737.281068,1688700.000000
1400,0.001348,20771513.353116,1958600.000000
1500,0.001526,19659239.842726,2248500.000000
1600,0.001737,18422567.645366,2558400.000000
1700,0.001979,17180394.138454,2888300.000000
1800,0.001976,18218623.481781,3238200.000000
1900,0.002165,17551963.048499,3608100.000000
2000,0.002387,16757436.112275,3998000.000000
2100,0.002572,16329704.510109,4407900.000000
2200,0.002599,16929588.303194,4837800.000000
2300,0.002889,15922464.520595,5287700.000000
2400,0.002929,16387845.681120,5757600.000000
2500,0.002724,18355359.765051,6247500.000000
2600,0.002548,20408163.265306,6757400.000000
2700,0.003216,16791044.776119,7287300.000000
2800,0.003457,16199016.488285,7837200.000000
2900,0.003793,15291326.127076,8407100.000000
3000,0.003976,15090543.259557,8997000.000000
3100,0.003968,15625000.000000,9606900.000000
3200,0.004200,15238095.238095,10236800.000000
3300,0.004328,15249537.892791,10886700.000000
3400,0.004484,15165031.222123,11556600.000000
3500,0.004643,15076459.185871,12246500.000000
3600,0.004832,14900662.251656,12956400.000000
3700,0.005038,14688368.400159,13686300.000000
3800,0.005357,14187044.987866,14436200.000000
3900,0.005545,14066726.780884,15206100.000000
4000,0.005842,13693940.431359,15996000.000000
4100,0.006139,13357224.303633,16805900.000000
4200,0.006801,12351124.834583,17635800.000000
4300,0.007314,11758271.807492,18485700.000000
4400,0.007808,11270491.803279,19355600.000000
4500,0.008222,10946241.790319,20245500.000000
4600,0.008937,10294282.197605,21155400.000000
4700,0.009328,10077186.963979,22085300.000000
4800,0.009909,9688162.276718,23035200.000000
4900,0.010607,9239181.672480,24005100.000000
5000,0.010919,9158347.834051,24995000.000000
5100,0.011339,8995502.248876,26004900.000000
5200,0.012035,8641462.401329,27034800.000000
5300,0.012668,8367540.258920,28084700.000000
5400,0.013241,8156483.649271,29154600.000000
5500,0.013887,7921077.266508,30244500.000000
5600,0.014566,7689139.091034,31354400.000000
5700,0.015048,7575757.575758,32484300.000000
5800,0.015436,7514900.233221,33634200.000000
5900,0.016169,7297915.764735,34804100.000000
6000,0.016937,7085080.002362,35994000.000000
6100,0.017388,7016333.103290,37203900.000000
6200,0.017623,7036259.433695,38433800.000000
6300,0.018388,6852294.974984,39683700.000000
6400,0.018947,6755686.916134,40953600.000000
6500,0.019492,6669402.831931,42243500.000000
6600,0.020282,6508233.901982,43553400.000000
6700,0.020917,6406272.410001,44883300.000000
6800,0.021578,6302715.728983,46233200.000000
6900,0.022239,6205314.987185,47603100.000000
7000,0.022958,6098092.168307,48993000.000000
7100,0.023706,5990044.714418,50402900.000000
7200,0.024358,5911815.419985,51832800.000000
7300,0.025174,5799634.543577,53282700.000000
7400,0.025850,5725338.491296,54752600.000000
7500,0.026709,5616084.465910,56242500.000000
7600,0.027692,5488949.877221,57752400.000000
7700,0.028884,5331671.513641,59282300.000000
7800,0.029483,5291184.750534,60832200.000000
7900,0.030190,5233521.033455,62402100.000000
8000,0.030959,5168125.585452,63992000.000000
8100,0.031466,5148414.161317,65601900.000000
8200,0.032582,5033454.054386,67231800.000000
8300,0.033250,4992481.203008,68881700.000000
8400,0.034128,4922644.163150,70551600.000000
8500,0.034734,4894339.839926,72241500.000000
8600,0.036019,4775257.502985,73951400.000000
8700,0.037116,4688005.172971,75681300.000000
8800,0.037119,4741507.044910,77431200.000000
8900,0.037919,4694216.619637,79201100.000000
9000,0.038971,4618819.121911,80991000.000000
9100,0.040392,4505842.741137,82800900.000000
9200,0.040258,4570520.145064,84630800.000000
9300,0.040972,4539685.638973,86480700.000000
9400,0.042070,4468742.571904,88350600.000000
9500,0.042758,4443612.891155,90240500.000000
9600,0.043446,4419279.105096,92150400.000000
9700,0.044310,4378244.188671,94080300.000000
9800,0.045808,4278728.606357,96030200.000000
9900,0.045277,4373081.255384,98000100.000000
10000,0.046046,4343482.604352,99990000.000000
10100,0.046785,4317623.169819,101999900.000000
10200,0.047538,4291303.799066,104029800.000000
10300,0.048471,4249963.895938,106079700.000000
10400,0.049722,4183258.919593,108149600.000000
10500,0.050555,4153891.801009,110239500.000000
10600,0.051355,4128127.738292,112349400.000000
10700,0.052284,4093030.372581,114479300.000000
10800,0.053170,4062441.226255,116629200.000000
10900,0.054249,4018507.253590,118799100.000000
11000,0.055303,3978084.371553,120989000.000000
11100,0.056196,3950459.107410,123198900.000000
11200,0.057407,3901963.175223,125428800.000000
11300,0.058201,3883094.792186,127678700.000000
11400,0.059473,3833672.422780,129948600.000000
11500,0.061207,3757740.127763,132238500.000000
11600,0.061358,3781088.040679,134548400.000000
11700,0.062824,3724691.200815,136878300.000000
11800,0.063466,3718526.455110,139228200.000000
11900,0.064589,3684837.975507,141598100.000000
